citation,topic,habitat_type,community_type,ecosystem_characteric,species_name_common,species_name_scientific,marine_ecoregion,climate_effect,effect_likely,effect_demonstrated,mpa_effect,mechanism,mpa effect size,recommended_mpa_action,analytical method,was this study conducted in an MPA?,name of mpa
"Bates, A. E., Barrett, N. S., Stuart-Smith, R. D., Holbrook, N. J., Thompson, P. A., & Edgar, G. J. (2014). Resilience and signatures of tropicalization in protected reef fish communities. Nature Climate Change, 4(1), 62-67.",habitat,shallow reef,fish,temporal_stability,na,na,temperate_autralasia,habitat_availability; range_shift,na,yes,effect_b,maintain fuctional diversity and therefore prevent initial stages of tropicalization,tbd,na,observational,yes,Maria Island Marine Reserve
"Baumann, J. H., Zhao, L. Z., Stier, A. C., & Bruno, J. F. (2022). Remoteness does not enhance coral reef resilience. Global Change Biology, 28(2), 417-428.",habitat,coral reef,na,coral cover,na,na,global,habitat_availability; nutrition; disease,no,na,no_effect,"positive correlation between coral resilience and local human impact. high pre-disturbance coral cover was a predictor of post-disturbance recovery. co-occuring disturbances were less likely to recover. isolated reefs are just as susceptible to degredation caused by climate change, possible that reefs with a large human footprint have already evovled to be more resilience to disturbance",na,emissions reduction,literature review,no,na
"Cashion, T., Nguyen, T., Ten Brink, T., Mook, A., Palacios-Abrantes, J., & Roberts, S. M. (2020). Shifting seas, shifting boundaries: dynamic marine protected area \designs for a changing climate. PLoS One, 15(11), e0241771.",na,na,na,biomass,shrimp,na,northern_hemisphere,range_shift; habitat_availability,yes,na,negative_effect,"MPA effects are complicated by predator-prey interactions, chaning who ""wins"" and who ""looses""; shrimp are negatively affected inside MPAs because their predator (whiting) is protected from fishing",na,"""our model shows that there is no silver bullet design for maintaining ecological functions and the fisheries that depend on them underclimate change.""; goal-oriented design (know what you want to protect before designing MPA)",predictive/theoretical model,no,na
"Cashion, T., Nguyen, T., Ten Brink, T., Mook, A., Palacios-Abrantes, J., & Roberts, S. M. (2020). Shifting seas, shifting boundaries: dynamic marine protected area \designs for a changing climate. PLoS One, 15(11), e0241771.",na,na,na,biomass,anchovy,na,northern_hemisphere,range_shift; habitat_availability,yes,na,effect_c,species is protected from fishing,26% increase in biomass inside MPA,goal-oriented design (know what you want to protect before designing MPA),predictive/theoretical model,no,na
"Cashion, T., Nguyen, T., Ten Brink, T., Mook, A., Palacios-Abrantes, J., & Roberts, S. M. (2020). Shifting seas, shifting boundaries: dynamic marine protected area \designs for a changing climate. PLoS One, 15(11), e0241771.",na,na,na,biomass,whiting,na,northern_hemisphere,range_shift; habitat_availability,yes,na,effect_c,species is protected from fishing,28% increase in biomass inside MPA,goal-oriented design (know what you want to protect before designing MPA),predictive/theoretical model,no,na
"Cashion, T., Nguyen, T., Ten Brink, T., Mook, A., Palacios-Abrantes, J., & Roberts, S. M. (2020). Shifting seas, shifting boundaries: dynamic marine protected area \designs for a changing climate. PLoS One, 15(11), e0241771.",na,na,na,biomass,mackerel,na,northern_hemisphere,range_shift; habitat_availability,yes,na,negative_effect,"mackerel are protected from fishing, but are still negatively impacted by an increase in their predator (whales)",-65% change in biomass inside MPA,goal-oriented design (know what you want to protect before designing MPA),predictive/theoretical model,no,na
"Cashion, T., Nguyen, T., Ten Brink, T., Mook, A., Palacios-Abrantes, J., & Roberts, S. M. (2020). Shifting seas, shifting boundaries: dynamic marine protected area \designs for a changing climate. PLoS One, 15(11), e0241771.",na,na,na,biomass,whale,na,northern_hemisphere,range_shift; habitat_availability,yes,na,effect_c,protected from fishing,~7.5% increase in biomass inside MPA,goal-oriented design (know what you want to protect before designing MPA),predictive/theoretical model,no,na
"Coelho, V. R., & Manfrino, C. (2007). Coral community decline at a remote Caribbean island: marine no‐take reserves are not enough. Aquatic Conservation: Marine and Freshwater Ecosystems, 17(7), 666-685.",habitat,coral reef,na,mean coral cover,na,na,tropical_atlantic,disease; calcification,na,no,no_effect,na,no effect,more comprehensive management strategies,observational,yes,Little Cayman
"Cornwall, C. E., & Eddy, T. D. (2015). Effects of near‐future ocean acidification, fishing, and marine protection on a temperate coastal ecosystem. Conservation Biology, 29(1), 207-215.",habitat,temperate coastal,na,trophic group biomass; trophic structure,na,na,temperate_autralasia,habitat_availability; calcification,weak,na,effect_c,"its complicated; some negative effects and some positive, dependent on trophic interactions lobster, abalone, piscivorous fishes, and herbivorous fishes all benefited from reduced fishing mortality, while mobile invertebrate herbiovores, sea urchins, and phytal and infaunal invertables all experienced more lobster predation the effects of fishing greatly outweight the effects of OA, and so stopping fishing significantly changes the ecosystem (see Table 2)",see Table 2,reducing fishing could decrease effects of OA; need more research that includes food webs,predictive/theoretical model,yes,Taputeranga Marine Reserve
"Cortés-Useche, C., Muñiz-Castillo, A. I., Calle-Triviño, J., Yathiraj, R., & Arias-González, J. E. (2019). Reef condition and protection of coral diversity and evolutionary history in the marine protected areas of Southeastern Dominican Republic. Regional Studies in Marine Science, 32, 100893.",habitat,coral reef,coral substrate,live coral cover; macroalgae cover; CCA; abiotic substrate cover,na,na,tropical_atlantic,habitat_availability; recruitment,na,yes,effect_b,higher recruitment and diversity in MPAs,coral cover in MPA is ~35% vs ~12% in unproteted sites,MPA network,observational,yes,"(1) Cotubanama Natural Park, (2) Guaraguao Catuano Natural Recreation  Area, (3) Catalina Island Natural Monument, (4) Punta Bayahibe Natural  Monument and (5) Southeastern Reefs Marine Sanctuary"
"Edgar, G. J., Banks, S. A., Brandt, M., Bustamante, R. H., Chiriboga, A., Earle, S. A., ... & Wellington, G. M. (2010). El Niño, grazers and fisheries interact to greatly elevate extinction risk for Galapagos marine species. Global Change Biology, 16(10), 2876-2890.",habitat,coral reef,na,na,na,na,tropical_eastern_pacific,nutrition,yes,yes,effect_b,"When fishing pressure decreases, there are more large urchin predators, which prevents the shift to an urchin barren",na,na,observational,yes,Galapagos Marine Reserve
"Edwards, H. J., Elliott, I. A., Eakin, C. M., Irikawa, A., Madin, J. S., McField, M., ... & Mumby, P. J. (2011). How much time can herbivore protection buy for coral reefs under realistic regimes of hurricanes and coral bleaching?. Global Change Biology, 17(6), 2033-2048.",habitat,coral reef,na,coral recruitment; coral growth; algal growth,na,na,tropical_atlantic,habitat_availability; reproduction,yes,na,effect_b,herbivore protection delays rates of coral loss under both thermal stress and physical destriction from hurricanes,"reefs last 18 years longer in the Bahamas, 50 years longer in Bonaire, as compared to fished systems",management should be locally tailored,predictive/theoretical model,yes,"Caribbean: Belize, Bonaire, and the Bahamas"
"Eisaguirre, J. H., Eisaguirre, J. M., Davis, K., Carlson, P. M., Gaines, S. D., & Caselle, J. E. (2020). Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics. Ecology, 101(5), e02993.",habitat,kelp forest,na,na,na,na,temperate_northern_pacific,habitat_availability; disease,na,yes,effect_b,trophic reducdancy inside MPAs increased kelp forest ecosystem resilience after sea star disesase,na,use MPAs to protect predators,observational,yes,Northern Channel Islands
"Emslie, M. J., Logan, M., Williamson, D. H., Ayling, A. M., MacNeil, M. A., Ceccarelli, D., ... & Sweatman, H. P. (2015). Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park. Current Biology, 25(8), 983-992.",habitat,coral reef,na,density; mean length; biomass,coral trout,Plectropomus spp.; Variola spp,central_indo_pacific,habitat_availability,na,yes,effect_b,na,"coral trout were 12% larger on inshort NTMR reefs and 7% larger on offshore ones, as compared to non-protected areas
89%/82% higher biomass",monitoring and adaptive management; emissions reduction; reserve network,observational,yes,Great Barrier Reef Marine Park
"Emslie, M. J., Logan, M., Williamson, D. H., Ayling, A. M., MacNeil, M. A., Ceccarelli, D., ... & Sweatman, H. P. (2015). Expectations and outcomes of reserve network performance following re-zoning of the Great Barrier Reef Marine Park. Current Biology, 25(8), 983-992.",habitat,coral reef,"non-target reef fish species, reef fishes, hard coral cover, and assemblage structure of fish and benthic communities",density; species richness,damselfish; scrapers; planktivores,na,central_indo_pacific,habitat_availability,na,no,no_effect,there are threats that act at regional and global scales that MPAs don't address,no effect,monitoring and adaptive management; emissions reduction; reserve network,observational,yes,Great Barrier Reef Marine Park
"Freedman, R. M., Brown, J. A., Caldow, C., & Caselle, J. E. (2020). Marine protected areas do not prevent marine heatwave-induced fish community structure changes in a temperate transition zone. Scientific Reports, 10(1), 21081.",habitat,temperate transition zone,fish,abundance; biomass; recruitment; diversity,na,na,temperate_northern_pacific,range_shift,na,no,no_effect,fish communities inside MPAs were not buffered from heat-wave induced community shifts. this is likely because species most responsible for the community response to environmental drivers were not fisheries targets ,no effect,more research; dynamic management,observational,yes,Channel Islands National Marine Sanctuary
"Frid, O., Malamud, S., Di Franco, A., Guidetti, P., Azzurro, E., Claudet, J., ... & Belmaker, J. (2023). Marine protected areas' positive effect on fish biomass persists across \the steep climatic gradient of the Mediterranean Sea. Journal of Applied Ecology, 60(4), 638-649.",habitat,rocky reef,fish,biomass,na,na,temperate_northern_atlantic,range_shift; habitat availability,na,yes,effect_b,"MPAs maintain higher levels of fish biomass across a thermal gradient, especially for fished species. No difference in amount of exotic species (aka does not prevent invasion). However, they are unlikely to continue to be effective at higher levels of climate change",tbd,fully protected MPAs; regionally planned MPA networks; local monitoring,observational,yes,Mediteranean
"Giakoumi, S., Pey, A., Di Franco, A., Francour, P., Kizilkaya, Z., Arda, Y., ... & Guidetti, P. (2019). Exploring the relationships between marine protected areas and invasive fish in the world's most invaded sea. Ecological Applications, 29(1), e01809.",habitat,rocky habitat,fish; benthic,biomass; density; algal cover,na,na,temperate_northern_atlantic,range_shift,na,yes,negative_effect,invasive populations do better in MPAs -- invasive herbivores are corrrelated with barrens,na,"additional management actions within MPAs, i.e. species-targeted fishing",observational,yes,Mediteranean
"Graham, N. A., Robinson, J. P., Smith, S. E., Govinden, R., Gendron, G., & Wilson, S. K. (2020). Changing role of coral reef marine reserves in a warming climate. Nature Communications, 11(1), 2000.",habitat,coral reef,fish; benthic,biomass; richness; coral cover; macroalgal cover,na,na,western_indo_pacific,habitat_availability,na,no,no_effect,"biomass increased, but communitry structure changed, so biomass increase comes mostly from herbivores; only enhanced fish species richness in macroalgal reefs; no difference between coral cover in MPAs and fished areas after bleaching",tbd,place MPAs in climate refugia,observational,yes,Seychelles Islands
"Hammerton, Z., Bucher, D., & Page, A. (2019). The influence of protection and temperature on subtropical reef fish assemblages in Cape Byron Marine Park. Aquatic Conservation: Marine and Freshwater Ecosystems, 29(10), 1623-1635.",habitat,subtropical reef ,fish,abundance,na,na,temperate_autralasia,range_shift,na,yes,effect_c,establishment of MPA increased abundance of fished species. no evidence of tropicalization (although this was not considered an MPA effect),na,more research,observational,yes,Cape Byron Marine Park
"Johnson, J. V., Dick, J. T., & Pincheira-Donoso, D. (2022). Marine protected areas do not buffer corals from bleaching under global warming. BMC ecology and evolution, 22(1), 1-8.",habitat,coral reef,coral,bleaching prevalance,na,na,global,calcification,na,no,no_effect,na,na,emissions reduction,observational,yes,multiple
"Johnson, J. V., Dick, J. T., & Pincheira‐Donoso, D. (2022). Local anthropogenic stress does not exacerbate coral bleaching under global climate change. Global Ecology and Biogeography, 31(6), 1228-1236.",habitat,coral reef,coral,bleaching prevalance,na,Scleractinia spp.,global,calcification,na,no,no_effect,local human population density does not exacerbate coral bleaching  (ergo this is an argument against effect A),na,emissions reduction,observational,yes,multiple
"Kapur, M. R., & Franklin, E. C. (2017). Simulating future climate impacts on tropical fisheries: are contemporary spatial fishery management strategies sufficient?. Canadian Journal of Fisheries and Aquatic Sciences, 74(11), 1974-1989.",habitat,coral reef,coral,percent cover,na,na,eastern_indo_pacific,calcification; habitat_availability,no,na,no_effect,corals declined regardless of protection,no amount of protection makes a difference,na,predictive/theoretical model,no,na
"Kapur, M. R., & Franklin, E. C. (2017). Simulating future climate impacts on tropical fisheries: are contemporary spatial fishery management strategies sufficient?. Canadian Journal of Fisheries and Aquatic Sciences, 74(11), 1974-1989.",habitat,coral reef,herbivorous fish,biomass,na,na,eastern_indo_pacific,calcification; habitat_availability,yes,na,effect_b,herbivorous fish thrive because they can live in the algae-dominate state,20% of reef areas need to be protected for this effect to occur,na,predictive/theoretical model,no,na
"Kapur, M. R., & Franklin, E. C. (2017). Simulating future climate impacts on tropical fisheries: are contemporary spatial fishery management strategies sufficient?. Canadian Journal of Fisheries and Aquatic Sciences, 74(11), 1974-1989.",habitat,coral reef,piscivorous fish,biomass,na,na,eastern_indo_pacific,calcification; habitat_availability,no,na,no_effect,piscovorous fish populations decline regardless of level/amount of protection,no amount of protection makes a difference,na,predictive/theoretical model,no,na
"Ling, S. D., & Johnson, C. R. (2012). Marine reserves reduce risk of climate-driven phase shift by reinstating size- and habitat-specific trophic interactions. Ecological Applications, 22(4), 1232–1245. https://doi.org/10.1890/11-1587.1",habitat,kelp beds,na,abundance of predorty-capable lobsters,na,na,temperate_autralasia,"habitat_availability, nutrition, range_shift",na,yes,effect_b,"marine reserve maintains population of large predators, therefore minimzes local risk of phase shifts","urchins had ~7x lower survival rate within a reserve
when able to look for shelter, that number changed to ~3.3x lower
""shelter was 6.3 and 3.1 times more important to survival of small and large urchins, respectively, on the reserved relative to fished reef"". in this case, low survival rate of urchins is good because it means the ecosystem is less likely to have a phase shift","""Finally, our findings highlight the crucial need to account for the influence of size and habitat dynamics on rates of key predator–prey interactions when assessing the performance of marine reserves...""",observational,yes,Maria Island Marine Reserve
"Ling, S. D., Johnson, C. R., Frusher, S. D., & Ridgway, K. (2009). Overfishing reduces resilience of kelp beds to climate-driven catastrophic phase shift. Proceedings of the National Academy of Sciences, 106(52), 22341-22345.",habitat,kelp beds,na,na,na,na,temperate_autralasia,,na,yes,effect_b,"""fishing, by removing large predatory lobsters, has reduced the resilience of kelp beds against the climate-driven threat of the sea urchin and thus increased risk of catastrophic shift to widespread sea urchin barrens""",9.4% of urchins survived in the MPA vs 61.3% in the fished reef,na,observational,yes,Maria Island Marine Reserve; Crayfish Point Research Reserve
"McClanahan, T. R. (2008). Response of the coral reef benthos and herbivory to fishery closure management and the 1998 ENSO disturbance. Oecologia, 155(1), 169-177.",habitat,coral reef,na,coral cover; herbivory,na,na,western_indo_pacific,habitat_availability; calcification,na,yes,negative_effect,herbivory was higher in unfished reefs (included urchin herbivory),"Recovery, as defined as and measured by the return to pre-disturbance coral cover and the dominant taxa, was slower in fishery closures than  unmanaged reefs",na,observational,yes, Kenya
"McClanahan, T. R., Muthiga, N. A., Maina, J., Kamukuru, A. T., & Yahya, S. A. (2009). Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance. Aquatic Conservation: Marine and Freshwater Ecosystems, 19(7), 758-771.",habitat,coral reef,fish; benthic,biomass,na,na,western_indo_pacific,habitat_availability,na,yes,,,,,observational,yes,Tanzania; Kenya
"Mellin, C., Matthews, S., Anthony, K. R., Brown, S. C., Caley, M. J., Johns, K. A., ... & MacNeil, M. A. (2019). Spatial resilience of the Great Barrier Reef under cumulative disturbance impacts. Global Change Biology, 25(7), 2431-2445.",habitat,coral reef,na,na,na,na,central_indo_pacific,habitat_availability; disease,na,na,no_effect,"reef resilience was lower in no-take MPA, but this was primarily driven by frequency of river plume-like conditions. w/o the plume-like conditions, resilience was not statistically different. ""recovery potential in the absence of disturbance"" was higher in closed reefs (Section 3.3)",na,use the model in the paper to identify refugia,predictive/theoretical model; observational,yes,Great Barrier Reef Marine Park
"Montero‐Serra, I., Garrabou, J., Doak, D. F., Ledoux, J. B., & Linares, C. (2019). Marine protected areas enhance structural complexity but do not buffer the consequences of ocean warming for an overexploited precious coral. Journal of Applied Ecology, 56(5), 1063-1074.",species,na,na,na,mediterranean red coral,Corallium rubrum,temperate_northern_atlantic,habitat_availability,na,weak,effect_b,"banning fishing did not affect warming-induced mortality rate, but did reduce shrinkking rate. Therefore, coral colonies were able to grow bigger in MPAs",weak effect,"MPA are locally effective at increasing structural complexity, but not enough to support species persistence as climate change worsens",predictive/theoretical model; observational,yes,Scandola Natural Park
"Mumby, P. J., & Harborne, A. R. (2010). Marine reserves enhance the recovery of corals on Caribbean reefs. Plos one, 5(1), e8657.",habitat,coral reef,na,na,na,na,tropical_atlantic,habitat_availability,na,yes,effect_b,"parrotfish recovery led to a reduction in macroalgal cover, which resulted in a faster rate of recover for corals in protected reefs vs those in areas subject to fishing. reserve was founded in 1958 and enforced since 1986",na,"local action is effective, should have MPAs",observational,yes,Exuma Cays Land and Sea Park
"Munguía-Vega, A., Sáenz-Arroyo, A., Greenley, A. P., Espinoza-Montes, J. A., Palumbi, S. R., Rossetto, M., & Micheli, F. (2015). Marine reserves help preserve genetic diversity after impacts derived from climate variability: Lessons from the pink abalone in Baja California. Global Ecology and Conservation, 4, 264-276.",species,na,na,na,pink abalone,Haliotis corrugata,temperate_northern_pacific,reproduction,na,yes,effect_c,reserves increases allelic diversity for rare alleles and increased effective population size. reserves are hub for larval dispersal,"7.22% more observed alleles, 16.03% more rare alleles, 2.26% more effective alleles, 1.36% higher allelic richness
5.92% fewer private alleles, 4.71% less observed heterozygosity",network of small and interconnected marine reserves will increase effective population size,observational,yes,multiple
"Olds, A. D., Pitt, K. A., Maxwell, P. S., Babcock, R. C., Rissik, D., & Connolly, R. M. (2014). Marine reserves help coastal ecosystems cope with extreme weather. Global change biology, 20(10), 3050-3058.",habitat,coral reef,na,na,na,na,temperate_autralasia,habitat_availability,na,yes,effect_b,"Herbivory and coral recruitment were higher within reserves, and so the protected reefs resisted the impacts of perturbation from flooding",na,na,observational,yes,multiple; Moreton Bay
"Page, C. A., Baker, D. M., Harvell, C. D., Golbuu, Y., Raymundo, L., Neale, S. J., ... & Willis, B. L. (2009). Influence of marine reserves on coral disease prevalence. Diseases of Aquatic Organisms, 87(1-2), 135-150.",habitat,coral reef,na,disease prevalence; richness; biomass; fish size,na,na,central_indo_pacific,disease,na,yes,negative_effect,na,prevalence of skeletal eroding band (SEB) was 2x higher inside the MPA. no difference in prevalence of brown band disease (BrB) or growth anomalies (GAs),,observational,yes,"multiple; Republic of Palau; Ngelukes, Ngemelis, Cemetery Reef, Bital Rirs (unofficial)"
"Perkins, N. R., Hosack, G. R., Foster, S. D., Monk, J., & Barrett, N. S. (2020). Monitoring the resilience of a no-take marine reserve to a range extending species using benthic imagery. PloS one, 15(8), e0237257.",habitat,kelp forest,na,probability of barrens presence,na,na,temperate_autralasia,habitat_availability; range_shift,na,yes,effect_b,protection helps with resistance to phrase shift but not recovery from phase shift,sample from protected area 96% less likely to be an urchin barren that area inside the protected area,stronger data collection and mapping,observational,yes,Governor Island NTR
"Perkins, N. R., Hill, N. A., Foster, S. D., & Barrett, N. S. (2015). Altered niche of an ecologically significant urchin species, Centrostephanus rodgersii, in its extended range revealed using an Autonomous Underwater Vehicle. Estuarine, Coastal and Shelf Science, 155, 56-65.",species,na,na,na,sea urchin,Centrostephanus rodgersii,temperate_autralasia,habitat_availability; range_shift,na,weak,effect_b,na,tbd,ecosystem monitoring,observational,yes,Governor Island MPA
"Randrianarivo, M., Guilhaumon, F., Tsilavonarivo, J., Razakandrainy, A., Philippe, J., Botosoamananto, R. L., ... & Adjeroud, M. (2022). A contemporary baseline of Madagascar’s coral assemblages: Reefs with high coral diversity, abundance, and function associated with marine protected areas. Plos one, 17(10), e0275017.",habitat,coral reef,,,na,na,western_indo_pacific,,na,weak,effect_b,na,tbd,monitoring; adaptive managment,observational,yes,Tasmania
"Russ, G. R., Rizzari, J. R., Abesamis, R. A., & Alcala, A. C. (2021). Coral cover a stronger driver of reef fish trophic biomass than fishing. Ecological Applications, 31(1), e02224.",habitat,coral reef,reef fish,biomass,na,na,central_indo_pacific,habitat_availability,na,no,no_effect,"live hard coral cover explained ~30% of variability in reef fish trophic structure, while fishing only explained ~24%. coral cover also affected trophic groups more strongly than fishing. MPAs only serve to decrease fishing and do not address the main source of the problem, decreasing HC cover",na,"need management to include ways to maintain reef habitats, not just decrease fishing",observational,yes,"Apo Island, Sumilon Island"
"Selig, E. R., Casey, K. S., & Bruno, J. F. (2012). Temperature‐driven coral decline: the role of marine protected areas. Global Change Biology, 18(5), 1561-1570.",habitat,coral reef,na,coral cover,na,na,global,habitat_availability,na,no,no_effect,"MPAs do not reduce negative effects of temperature anomalies. May be because current corals exposed to moderate thermally anomalies are more resilient, and few MPAs protect corals like that",no effect,"address climate change, protect reefs with a history of exposure to moderate temparture anomaly",observational,yes,multiple
"Sheehan, E. V., Holmes, L. A., Davies, B. F. R., Cartwright, A., Rees, A., & Attrill, M. J. (2021). Rewilding of protected areas enhances resilience of marine ecosystems to extreme climatic events. Frontiers in Marine Science, 8, 671427.",habitat,temperate reef,benthic,richness; abundance,na,na,temperate_northern_atlantic,habitat_availability,na,yes,effect_b,"MPAs have high diversity but also higher sensitiity of species, so though they have low resistance to storm events (population drops immediately after storm) they recover well (richness and abundance both increase)",tbd,more research,observational,yes,Lyme Bay MPA
"Smith, A., Aguilar, J. D., Boch, C., De Leo, G., Hernández‐Velasco, A., Houck, S., ... & Micheli, F. (2022). Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico. Ecosphere, 13(3), e4002.",species,na,na,age; size,pink abalone,Haliotis corrugata,temperate_northern_pacific,reproduction,na,yes,effect_b,slower recovery than green,tbd,na,observational,yes,"Isla Natividad, Baja California"
"Smith, A., Aguilar, J. D., Boch, C., De Leo, G., Hernández‐Velasco, A., Houck, S., ... & Micheli, F. (2022). Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico. Ecosphere, 13(3), e4002.",species,na,na,age; size,green abalone,Haliotis fulgens,temperate_northern_pacific,reproduction,na,yes,effect_b,abolone recovered faster from disturbance inside the MPA. Protection maintained recruitement throughout years of low abundance,tbd,na,observational,yes,"Isla Natividad, Baja California"
"Smith, J. G., Free, C. M., Lopazanski, C., Brun, J., Anderson, C. R., Carr, M. H., ... & Caselle, J. E. (2023). A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems. Global Change Biology.",habitat,rocky intertidal,benthic invertebrate; macroalgal,community structure,na,na,temperate_northern_pacific,range_shift,na,yes,effect_b,MPA provided resistance to perturbation during the heat wave,no effect,more study on ecosystem-wise consquences of climate shocks and what management can do,observational,yes,CA Central Coast MPAs
"Smith, J. G., Free, C. M., Lopazanski, C., Brun, J., Anderson, C. R., Carr, M. H., ... & Caselle, J. E. (2023). A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems. Global Change Biology.",habitat,kelp forest,fish; benthic invertebrate; macroalgal,community structure,na,na,temperate_northern_pacific,range_shift,na,no,no_effect,community shifted during heatwave -- increase in cosmopolitan and warm-temperature species -- and changes persisted after the heatwave ended,no effect,more study on ecosystem-wise consquences of climate shocks and what management can do,observational,yes,CA Central Coast MPAs
"Smith, J. G., Free, C. M., Lopazanski, C., Brun, J., Anderson, C. R., Carr, M. H., ... & Caselle, J. E. (2023). A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems. Global Change Biology.",habitat,shallow reef,fish,community structure,na,na,temperate_northern_pacific,range_shift,na,no,no_effect,community shifted during heatwave -- increase in cosmopolitan and warm-temperature species -- and changes persisted after the heatwave ended,no effect,more study on ecosystem-wise consquences of climate shocks and what management can do,observational,yes,CA Central Coast MPAs
